timestamp,event,TCP_pose,joint_angles,TCP_force
0.0,END d_bow,"[0.2975113377380173, 0.7936034324428547, 0.09626147410558239, -1.5368631030838131, -2.353176194049908, 1.3599417457309328]","[-2.1783927122699183, -0.1345382493785401, 0.3846328894244593, -0.9187693160823365, -1.5731995741473597, -2.589186970387594]","[-0.7031017211658355, -0.946928610369985, -0.04327685556374128, 0.06836412552147461, 0.0770108609739011, -0.034245216271720336]"
0.15999999999996817,START a_bow,"[0.29748092938709153, 0.7936126687834928, 0.09623181040338034, -1.5368394561757153, -2.353172157873401, 1.3600377983095995]","[-2.1783579031573694, -0.13450785100970464, 0.3846395651446741, -0.9187470239451905, -1.573202912007467, -2.589162890111105]","[-0.05056787401414795, -1.6186087682483699, 1.69452904300132, 0.03770331590402981, -0.03543257347842093, -0.018263988699550072]"
1.5679999999999836,END a_bow,"[0.34042448738936343, 0.6988736000152824, 0.13516456730508591, -1.5162345929564964, -2.3417083529258624, 1.3849720051712415]","[-2.2883785406695765, -0.4211265605739136, 0.8848527113543909, -1.1149369043162842, -1.6565435568438929, -2.6651018301593226]","[-2.254995736726351, 0.184909142537093, -1.6128050153098044, 0.016804121279926178, -0.07975150022068814, -0.07993537397936834]"
1.6159999999999854,START a_bow,"[0.34033727734584973, 0.6990191115792338, 0.13508060496238614, -1.5161051206494165, -2.3419270568504134, 1.384912147572562]","[-2.288166586552755, -0.4207652372172852, 0.8843343893634241, -1.1148461264422913, -1.6565011183368128, -2.6650777498828333]","[-1.859965320327702, 0.4729390420233537, -2.062595125221926, -0.006744751840821597, -0.05482884946641775, -0.038692257939095524]"
2.8479999999999563,END a_bow,"[0.29746771580337283, 0.7936197870217983, 0.09623805210908537, -1.5367896428145014, -2.353200014142012, 1.3600651005668651]","[-2.178338352833883, -0.1344924730113526, 0.3845914045916956, -0.9186976116946717, -1.5732114950763147, -2.589179817830221]","[1.4685310001427727, -0.7755162790192787, -0.8860352189857296, -0.00855272001851018, 0.050237260162512856, 0.07040926984356223]"
2.8719999999999573,START a_bow,"[0.2975558254990959, 0.7935839337762076, 0.09625648845004897, -1.536859242162402, -2.3530778882355743, 1.3599972214096896]","[-2.178448502217428, -0.1345314544490357, 0.3846347967730921, -0.9187213939479371, -1.573183838521139, -2.5892143885241907]","[1.74488898080493, -0.1102036981383829, -1.1094278080038393, 0.003807245810361227, 0.05947459395890979, 0.0465823468950605]"
4.1200000000000045,END a_bow,"[0.340490511217019, 0.698852257304253, 0.1352030349966017, -1.5163185404033743, -2.3416654857359265, 1.3848491923549306]","[-2.2884612719165247, -0.4211506408504029, 0.884801212941305, -1.1149332982352753, -1.6565349737750452, -2.6651256720172327]","[-2.0863135608746983, 0.7166352009702561, -2.3215095851506984, 0.016594888017546675, -0.05917638312311474, -0.0710308098368217]"
4.1440000000000055,START a_bow,"[0.34046590518776715, 0.6988749523362293, 0.1352239199114269, -1.5163123006623493, -2.3417282640547783, 1.384775993158404]","[-2.288417164479391, -0.4211575549891968, 0.8847597281085413, -1.1149404507926484, -1.6565163771258753, -2.665122095738546]","[-1.9197665235120203, 0.27145991568708205, -2.210586386797457, 0.011800993269005692, -0.051131235318063926, -0.060386119788689595]"
5.399999999999977,END a_bow,"[0.29753237410031325, 0.7936035472640509, 0.09629072877680309, -1.536790989763927, -2.353169013143183, 1.3599892428733051]","[-2.1784094015704554, -0.13450439394030766, 0.38448888460268194, -0.9186187547496338, -1.5732114950763147, -2.58923846880068]","[1.3100661644306701, -2.0039046249499113, 0.016612628700044207, 0.0053776139480686685, 0.02911640373016818, 0.06037347168119518]"
5.423999999999978,START a_bow,"[0.29758086507694353, 0.7935850457835594, 0.09628753852470662, -1.5368480678376208, -2.35312237295058, 1.3599002088843442]","[-2.178469483052389, -0.13450439394030766, 0.38450414339174444, -0.9186821740916749, -1.573195759450094, -2.5892539660083216]","[1.338106762106348, -1.0981748093667953, -0.13385950424488624, 0.010041068109732635, 0.024084532996651947, 0.03567009815456829]"
